C,Sigma,TP,FP,TN,FN,Pre,Re,Acc,ET,EC
C: 0.7,  Sigma: 0.08, TP:30.0, FP:6.0, TN:14.0, FN:0.0, Precesion: 0.83, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 95.97049, Eidx_CV: 23.13587 
C: 0.7,  Sigma: 0.06, TP:30.0, FP:6.0, TN:14.0, FN:0.0, Precesion: 0.83, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 95.56235, Eidx_CV: 23.05745 
C: 1.0,  Sigma: 0.08, TP:30.0, FP:6.0, TN:14.0, FN:0.0, Precesion: 0.83, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 56.73423, Eidx_CV: 17.2825 
C: 1.8,  Sigma: 0.08, TP:30.0, FP:6.0, TN:14.0, FN:0.0, Precesion: 0.83, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 120.12735, Eidx_CV: 29.12495 
C: 2.0,  Sigma: 0.08, TP:30.0, FP:6.0, TN:14.0, FN:0.0, Precesion: 0.83, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 186.1687, Eidx_CV: 41.38775 
C: 3.0,  Sigma: 0.1, TP:30.0, FP:6.0, TN:14.0, FN:0.0, Precesion: 0.83, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 155.43421, Eidx_CV: 35.52049 
C: 3.0,  Sigma: 0.08, TP:30.0, FP:6.0, TN:14.0, FN:0.0, Precesion: 0.83, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 164.95536, Eidx_CV: 37.12193 
C: 1.0,  Sigma: 0.06, TP:30.0, FP:7.0, TN:13.0, FN:0.0, Precesion: 0.81, Recall: 1.0, Accuracy: 0.86, Eidx_Training: 140.44514, Eidx_CV: 33.33293 
C: 0.8,  Sigma: 0.06, TP:30.0, FP:7.0, TN:13.0, FN:0.0, Precesion: 0.81, Recall: 1.0, Accuracy: 0.86, Eidx_Training: 107.57171, Eidx_CV: 24.32589 
C: 1.3,  Sigma: 0.06, TP:30.0, FP:7.0, TN:13.0, FN:0.0, Precesion: 0.81, Recall: 1.0, Accuracy: 0.86, Eidx_Training: 203.71047, Eidx_CV: 44.98229 
C: 1.5,  Sigma: 0.08, TP:30.0, FP:8.0, TN:12.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 176.34884, Eidx_CV: 40.02391 
C: 2.0,  Sigma: 0.1, TP:30.0, FP:8.0, TN:12.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 235.02532, Eidx_CV: 51.22137 
C: 1.3,  Sigma: 0.08, TP:30.0, FP:9.0, TN:11.0, FN:0.0, Precesion: 0.77, Recall: 1.0, Accuracy: 0.82, Eidx_Training: 193.30257, Eidx_CV: 43.33019 
C: 1.5,  Sigma: 0.1, TP:30.0, FP:9.0, TN:11.0, FN:0.0, Precesion: 0.77, Recall: 1.0, Accuracy: 0.82, Eidx_Training: 146.68171, Eidx_CV: 34.80472 
C: 0.6,  Sigma: 0.1, TP:30.0, FP:10.0, TN:10.0, FN:0.0, Precesion: 0.75, Recall: 1.0, Accuracy: 0.8, Eidx_Training: 129.98744, Eidx_CV: 29.05367 
C: 0.6,  Sigma: 0.08, TP:30.0, FP:10.0, TN:10.0, FN:0.0, Precesion: 0.75, Recall: 1.0, Accuracy: 0.8, Eidx_Training: 117.37471, Eidx_CV: 25.70977 
C: 0.7,  Sigma: 0.1, TP:30.0, FP:10.0, TN:10.0, FN:0.0, Precesion: 0.75, Recall: 1.0, Accuracy: 0.8, Eidx_Training: 103.32131, Eidx_CV: 25.57578 
C: 0.8,  Sigma: 0.08, TP:30.0, FP:10.0, TN:10.0, FN:0.0, Precesion: 0.75, Recall: 1.0, Accuracy: 0.8, Eidx_Training: 114.36434, Eidx_CV: 24.77311 
C: 0.7,  Sigma: 0.3, TP:28.0, FP:9.0, TN:11.0, FN:2.0, Precesion: 0.76, Recall: 0.93, Accuracy: 0.78, Eidx_Training: 175.88366, Eidx_CV: 35.48393 
C: 0.8,  Sigma: 0.3, TP:28.0, FP:9.0, TN:11.0, FN:2.0, Precesion: 0.76, Recall: 0.93, Accuracy: 0.78, Eidx_Training: 156.67593, Eidx_CV: 29.42034 
C: 1.0,  Sigma: 0.1, TP:30.0, FP:11.0, TN:9.0, FN:0.0, Precesion: 0.73, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 150.7071, Eidx_CV: 33.94876 
C: 1.3,  Sigma: 0.5, TP:30.0, FP:11.0, TN:9.0, FN:0.0, Precesion: 0.73, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 298.2344, Eidx_CV: 54.90476 
C: 0.8,  Sigma: 0.5, TP:26.0, FP:8.0, TN:12.0, FN:4.0, Precesion: 0.76, Recall: 0.87, Accuracy: 0.76, Eidx_Training: 212.42278, Eidx_CV: 37.36017 
C: 0.8,  Sigma: 0.1, TP:30.0, FP:12.0, TN:8.0, FN:0.0, Precesion: 0.71, Recall: 1.0, Accuracy: 0.76, Eidx_Training: 140.05311, Eidx_CV: 33.05921 
C: 1.0,  Sigma: 0.5, TP:29.0, FP:11.0, TN:9.0, FN:1.0, Precesion: 0.72, Recall: 0.97, Accuracy: 0.76, Eidx_Training: 186.48952, Eidx_CV: 34.19508 
C: 1.3,  Sigma: 0.8, TP:29.0, FP:11.0, TN:9.0, FN:1.0, Precesion: 0.72, Recall: 0.97, Accuracy: 0.76, Eidx_Training: 470.27015, Eidx_CV: 92.96309 
C: 1.5,  Sigma: 0.3, TP:22.0, FP:4.0, TN:16.0, FN:8.0, Precesion: 0.85, Recall: 0.73, Accuracy: 0.76, Eidx_Training: 175.22394, Eidx_CV: 36.78859 
C: 1.8,  Sigma: 0.04, TP:30.0, FP:12.0, TN:8.0, FN:0.0, Precesion: 0.71, Recall: 1.0, Accuracy: 0.76, Eidx_Training: 250.55105, Eidx_CV: 54.03922 
C: 2.0,  Sigma: 0.3, TP:25.0, FP:7.0, TN:13.0, FN:5.0, Precesion: 0.78, Recall: 0.83, Accuracy: 0.76, Eidx_Training: 133.41837, Eidx_CV: 30.25059 
C: 1.8,  Sigma: 1.0, TP:28.0, FP:10.0, TN:10.0, FN:2.0, Precesion: 0.74, Recall: 0.93, Accuracy: 0.76, Eidx_Training: 240.48014, Eidx_CV: 39.3254 
C: 2.0,  Sigma: 1.5, TP:24.0, FP:6.0, TN:14.0, FN:6.0, Precesion: 0.8, Recall: 0.8, Accuracy: 0.76, Eidx_Training: 279.21457, Eidx_CV: 40.69095 
C: 0.6,  Sigma: 1.0, TP:28.0, FP:11.0, TN:9.0, FN:2.0, Precesion: 0.72, Recall: 0.93, Accuracy: 0.74, Eidx_Training: 223.61786, Eidx_CV: 34.51487 
C: 0.6,  Sigma: 0.8, TP:25.0, FP:8.0, TN:12.0, FN:5.0, Precesion: 0.76, Recall: 0.83, Accuracy: 0.74, Eidx_Training: 315.71856, Eidx_CV: 61.17893 
C: 1.0,  Sigma: 2.0, TP:26.0, FP:9.0, TN:11.0, FN:4.0, Precesion: 0.74, Recall: 0.87, Accuracy: 0.74, Eidx_Training: 345.11367, Eidx_CV: 65.63854 
C: 1.0,  Sigma: 1.0, TP:29.0, FP:12.0, TN:8.0, FN:1.0, Precesion: 0.71, Recall: 0.97, Accuracy: 0.74, Eidx_Training: 324.36824, Eidx_CV: 58.09172 
C: 3.0,  Sigma: 2.0, TP:22.0, FP:5.0, TN:15.0, FN:8.0, Precesion: 0.81, Recall: 0.73, Accuracy: 0.74, Eidx_Training: 469.2585, Eidx_CV: 90.53643 
C: 4.0,  Sigma: 0.3, TP:30.0, FP:13.0, TN:7.0, FN:0.0, Precesion: 0.7, Recall: 1.0, Accuracy: 0.74, Eidx_Training: 248.91534, Eidx_CV: 52.67908 
C: 3.0,  Sigma: 1.5, TP:24.0, FP:7.0, TN:13.0, FN:6.0, Precesion: 0.77, Recall: 0.8, Accuracy: 0.74, Eidx_Training: 356.34202, Eidx_CV: 73.81649 
