quote_time,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB
2016-11-22,0.496706584,0.163573878,0.203736906,-0.744932769,-0.709830245
2016-11-21,0.295173995,-0.074326239,-0.043000059,-0.759833162,-0.799624913
2016-11-18,0.395940289,0.417053581,-1.979271565,-0.752382965,-0.754727579
2016-11-17,0.698239174,1.166503718,0.090378855,-0.730032376,-0.620035577
2016-11-16,0.1944077,2.160129038,1.666364654,-0.767283358,-0.844522247
2016-11-15,0.395940289,0.990733004,0.275212522,-0.752382965,-0.754727579
2016-11-14,-0.00712489,2.030896933,2.140025748,-0.782183751,-0.934316915
2016-11-11,-0.309423774,1.021848944,1.263908113,-0.80453434,-1.069008916
2016-11-10,-0.510956363,0.690298382,2.777016677,-0.819434733,-1.158803584
2016-11-9,-0.712488953,0.254884982,-0.783642767,-0.834335126,-1.248598252
2016-11-8,-0.611722658,-0.185612198,-0.048079345,-0.826884929,-1.203700918
2016-11-7,-0.611722658,-0.329680937,-0.376563966,-0.826884929,-1.203700918
2016-11-4,-0.611722658,-0.082019961,-0.722114544,-0.826884929,-1.203700918
2016-11-3,-0.611722658,0.38717376,1.03932427,-0.826884929,-1.203700918
2016-11-2,-0.611722658,-0.146195686,-0.10846658,-0.826884929,-1.203700918
2016-11-1,-0.510956363,-0.474444592,-0.168923157,-0.819434733,-1.158803584
2016-10-31,-0.611722658,-0.572278947,-0.156492066,-0.826884929,-1.203700918
2016-10-28,-0.611722658,-0.407836658,-0.437438169,-0.826884929,-1.203700918
2016-10-27,-0.410190068,-0.886286863,-0.184358006,-0.811984537,-1.11390625
2016-10-26,-0.309423774,-0.650271347,-0.277613245,-0.80453434,-1.069008916
2016-10-25,-0.107891184,-0.57260559,0.336650916,-0.789633947,-0.979214248
2016-10-24,-0.410190068,-0.265276241,0.522734311,-0.811984537,-1.11390625
2016-10-21,-0.410190068,-0.452977427,-0.348422235,-0.811984537,-1.11390625
2016-10-20,-0.208657479,-0.52411513,0.111499731,-0.797084144,-1.024111582
2016-10-19,-0.208657479,-0.11554249,0.889533417,-0.797084144,-1.024111582
2016-10-18,-0.510956363,-0.727980336,0.18118034,-0.819434733,-1.158803584
2016-10-17,-0.510956363,-0.540247126,-0.890487419,-0.819434733,-1.158803584
2016-10-14,-0.611722658,0.045056941,0.971180212,-0.826884929,-1.203700918
2016-10-13,-0.510956363,-0.929163548,-0.419505439,-0.819434733,-1.158803584
2016-10-12,-0.510956363,-1.002808716,-0.189018089,-0.819434733,-1.158803584
2016-10-11,-0.410190068,-0.731707908,-0.415009255,-0.811984537,-1.11390625
2016-10-10,-0.611722658,-0.776024065,-0.064472372,-0.826884929,-1.203700918
2016-9-30,-0.712488953,-1.047742931,-0.10740439,-0.834335126,-1.248598252
2016-9-29,-0.712488953,-0.97331158,-0.073754715,-0.183095763,0.621844783
2016-9-28,-0.813255247,-0.635450726,0.396245448,-0.192587462,0.571083992
2016-9-27,-0.914021542,-0.848433112,0.235106182,-0.202079161,0.5203232
2016-9-26,-0.813255247,-0.755280639,-0.372244288,-0.192587462,0.571083992
2016-9-23,-0.410190068,-0.886519035,-0.599015549,-0.154620665,0.774127159
2016-9-22,-0.309423774,-0.547921634,0.554519637,-0.145128966,0.82488795
2016-9-21,-0.410190068,-1.040873823,-0.099904446,-0.154620665,0.774127159
2016-9-20,-0.410190068,-1.111331019,-0.314356509,-0.154620665,0.774127159
2016-9-19,-0.410190068,-0.950483403,-0.154898781,-0.154620665,0.774127159
2016-9-14,-0.611722658,-0.72200149,-0.141049337,-0.173604063,0.672605575
2016-9-13,-0.510956363,-0.467000656,-0.382516327,-0.164112364,0.723366367
2016-9-12,-0.611722658,0.308982813,-0.482497719,-0.173604063,0.672605575
2016-9-9,0.295173995,-0.021392474,-0.747033459,-0.088178771,1.129452701
2016-9-8,0.698239174,-0.043349603,-0.832230867,-0.050211975,1.332495868
2016-9-7,0.799005468,-0.240619505,-0.4067434,-0.040720276,1.383256659
2016-9-6,0.597472879,-0.543870621,0.266473882,-0.059703674,1.281735076
2016-9-5,0.698239174,-0.737284856,0.060513035,-0.050211975,1.332495868
2016-9-2,0.698239174,-0.714304566,0.273865085,-0.050211975,1.332495868
2016-9-1,0.698239174,-0.702532612,-0.727810026,-0.050211975,1.332495868
2016-8-31,0.698239174,-0.688530199,-0.080279146,-0.050211975,1.332495868
2016-8-30,0.799005468,-0.204941773,-1.364301379,-0.040720276,1.383256659
2016-8-29,1.202070647,-0.877038385,-0.150378958,-0.002753479,1.586299826
2016-8-26,1.302836942,-0.788937668,-0.295084222,0.00673822,1.637060618
2016-8-25,1.101304353,-0.257793877,-0.844447628,-0.012245178,1.535539035
2016-8-24,1.504369531,-0.718373192,0.403817885,0.025721618,1.738582202
2016-8-23,1.504369531,-0.464486786,-0.395223208,0.025721618,1.738582202
2016-8-22,1.705902121,-0.838592194,-0.181448804,0.044705016,1.840103785
2016-8-19,1.605135826,-0.460547857,-0.27854148,0.035213317,1.789342993
2016-8-18,2.008201005,-0.190713592,0.179252954,0.073180114,1.99238616
2016-8-17,1.90743471,0.180175024,-0.450127715,0.063688415,1.941625368
2016-8-16,2.1089673,1.069329053,-0.580712471,0.082671813,2.043146952
2016-8-15,1.202070647,2.637208624,-1.310856202,-0.002753479,1.586299826
2016-8-12,0.799005468,-0.473652002,0.520513798,-0.040720276,1.383256659
2016-8-11,0.899771763,-0.725455259,-0.261918364,-0.031228577,1.434017451
2016-8-10,0.899771763,-0.415751344,-0.752434238,-0.031228577,1.434017451
2016-8-9,0.899771763,-0.464270626,0.243012721,-0.031228577,1.434017451
2016-8-8,0.799005468,-0.421781428,-0.485225687,-0.040720276,1.383256659
2016-8-5,1.000538058,-0.306937623,-0.600938207,-0.021736878,1.484778243
2016-8-4,1.101304353,-0.187094901,-0.054324833,-0.012245178,1.535539035
2016-8-3,1.101304353,0.406652246,0.527474767,-0.012245178,1.535539035
2016-8-2,0.799005468,-0.615166841,0.1816941,-0.040720276,1.383256659
2016-8-1,0.496706584,-0.150414823,-0.284252721,-0.069195373,1.230974284
2016-7-29,1.101304353,0.273998396,-0.025073633,-0.012245178,1.535539035
2016-7-28,0.496706584,1.183742137,0.126471252,-0.069195373,1.230974284
2016-7-27,0.1944077,1.053787895,-1.426809842,-0.09767047,1.078691909
2016-7-26,0.698239174,0.247732463,1.330233526,-0.050211975,1.332495868
2016-7-25,0.597472879,-0.781858804,-0.054892175,-0.059703674,1.281735076
2016-7-22,0.597472879,-0.336601283,-1.184589548,-0.059703674,1.281735076
2016-7-21,1.000538058,-0.095737362,-0.254894357,-0.021736878,1.484778243
