quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,SA,Turn_Over,open_price-Order2,high_price-Order2,low_price-Order2,close_price-Order2,trading_volumn-Order2,Capital-Order2,PE_TTM-Order2,PB-Order2,SA-Order2,Turn_Over-Order2
2016-10-14,1488,sh600221,3.21,3.28,3.29,3.2,day,888117.0,6526.81,41.3971539457,1.05610561056,-0.00311526479751,7.518728183e-05,10.3041,10.7584,10.8241,10.24,7.88751805689e+11,42599248.7761,1713.7243548,1.11535906066,9.70487475859e-06,5.65312734899e-09
2016-10-13,1487,sh600221,3.22,3.22,3.23,3.21,day,279682.0,-2297.62,41.5265200517,1.05940594059,-0.00311526479751,2.36776566114e-05,10.3684,10.3684,10.4329,10.3041,78222021124.0,5279057.6644,1724.45186761,1.12234094697,9.70487475859e-06,5.6063142261e-10
2016-10-12,1486,sh600221,3.22,3.22,3.23,3.21,day,233688.0,-835.09,41.5265200517,1.05940594059,-0.00310559006211,1.97838409988e-05,10.3684,10.3684,10.4329,10.3041,54610081344.0,697375.3081,1724.45186761,1.12234094697,9.64468963389e-06,3.91400364664e-10
2016-10-11,1485,sh600221,3.23,3.23,3.24,3.22,day,403000.0,-2269.09,41.6558861578,1.06270627063,-0.003125,3.41176608234e-05,10.4329,10.4329,10.4976,10.3684,1.62409e+11,5148769.4281,1735.21285159,1.12934461763,9.765625e-06,1.16401478006e-09
2016-10-10,1484,sh600221,3.21,3.23,3.23,3.2,day,375323.0,-44.8,41.3971539457,1.05610561056,0.0,3.17745479236e-05,10.3041,10.4329,10.4329,10.24,1.40867354329e+11,2007.04,1713.7243548,1.11535906066,0.0,1.00962189575e-09
2016-09-30,1483,sh600221,3.2,3.2,3.21,3.19,day,205625.0,-317.22,41.2677878396,1.05280528053,-0.00313479623824,1.74080496447e-05,10.24,10.24,10.3041,10.1761,42281640625.0,100628.5284,1703.03031317,1.10839895871,9.82694745531e-06,3.03040192432e-10
2016-09-29,1482,sh600221,3.2,3.2,3.22,3.19,day,252110.0,-103.7,531.666666667,1.19029850746,-0.0062893081761,2.13434329285e-05,10.24,10.24,10.3684,10.1761,63559452100.0,10753.69,282669.444444,1.41681053687,3.9555397334e-05,4.55542129174e-10
2016-09-28,1481,sh600221,3.19,3.22,3.23,3.18,day,463116.0,2878.63,530.0,1.18656716418,-0.00315457413249,3.92070337715e-05,10.1761,10.3684,10.4329,10.1124,2.14476429456e+11,8286510.6769,280900.0,1.40794163511,9.95133795739e-06,1.53719149716e-09
2016-09-27,1480,sh600221,3.18,3.19,3.2,3.17,day,330101.0,1856.14,528.333333333,1.1828358209,-0.00314465408805,2.79460892195e-05,10.1124,10.1761,10.24,10.0489,1.08966670201e+11,3445255.6996,279136.111111,1.39910057919,9.88884933349e-06,7.80983902666e-10
2016-09-26,1479,sh600221,3.23,3.19,3.23,3.18,day,388278.0,-1997.73,530.0,1.18656716418,-0.0124223602484,3.28713079633e-05,10.4329,10.1761,10.4329,10.1124,1.50759805284e+11,3990925.1529,280900.0,1.40794163511,0.000154315034142,1.08052288722e-09
