quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,SA,Turn_Over,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB,nor_SA,nor_Turn_Over
2016-07-08,1425,sh600221,3.28,3.24,3.3,3.24,day,944891.0,-3162.83,540.0,1.20895522388,-0.0185758513932,7.9993723705e-05,-0.0914017647397,-0.535999159223,-0.191451089177,-0.232265238345,0.134424504888,-0.554788347039,1.58494230029,0.904153852462,-1.48325627738,0.134424504888
2016-07-07,1424,sh600221,3.23,3.27,3.3,3.23,day,1005232.0,6134.59,538.333333333,1.2052238806,-0.00931677018634,8.51021449748e-05,-0.598422874805,-0.23867132373,-0.191451089177,-0.334336957438,0.230584560639,0.904770400602,1.57729657598,0.853410787495,-0.201790847303,0.230584560639
2016-07-06,1423,sh600221,3.27,3.25,3.28,3.22,day,901658.0,-2286.27,536.666666667,1.20149253731,-0.00934579439252,7.63336521656e-05,-0.192805986753,-0.436889880725,-0.384875900922,-0.436408676532,0.0655279388662,-0.417181267243,1.56965085167,0.802667722528,-0.20580782437,0.0655279388662
2016-07-05,1422,sh600221,3.22,3.28,3.32,3.21,day,1860320.0,8840.87,535.0,1.19776119403,-0.0126582278481,0.000157493217824,-0.699827096818,-0.139562045232,0.00197372256883,-0.538480395625,1.59326184064,1.32961671792,1.56200512735,0.751924657561,-0.664251688066,1.59326184064
2016-07-04,1421,sh600221,3.17,3.22,3.23,3.16,day,1015506.0,2597.49,526.666666667,1.17910447761,-0.00316455696203,8.59719336778e-05,-1.20684820688,-0.734217716219,-0.868437930285,-1.04883899109,0.246957315695,0.34949751347,1.52377650579,0.498209332726,0.649681171278,0.246957315695
2016-07-01,1420,sh600221,3.17,3.18,3.18,3.16,day,345569.0,-914.71,526.666666667,1.17910447761,0.0,2.92555978489e-05,-1.20684820688,-1.13065483021,-1.35199995965,-1.04883899109,-0.820661372594,-0.201866438407,1.52377650579,0.498209332726,1.08765879106,-0.820661372594
2016-06-30,1419,sh600221,3.19,3.17,3.19,3.15,day,515789.0,-1582.47,525.0,1.17537313433,-0.00638977635783,4.36662882344e-05,-1.00403976286,-1.22976410871,-1.25528755378,-1.15091071019,-0.549396980389,-0.30669497679,1.51613078147,0.447466267759,0.203307814376,-0.549396980389
2016-06-29,1418,sh600221,3.14,3.18,3.19,3.13,day,800973.0,9591.38,71.1363636364,1.18113207547,-0.0032154340836,6.78097398082e-05,-1.51106087292,-1.13065483021,-1.25528755378,-1.35505414837,-0.0949247419536,1.44743579415,-0.565938962175,0.525782922746,0.642639730446,-0.0949247419536
2016-06-28,1417,sh600221,3.13,3.14,3.14,3.11,day,623978.0,-3901.28,70.6818181818,1.17358490566,0.0,5.28254832885e-05,-1.61246509494,-1.5270919442,-1.73884958314,-1.55919758656,-0.376985845809,-0.670714179925,-0.568024159715,0.423147893227,1.08765879106,-0.376985845809
2016-06-27,1416,sh600221,3.1,3.14,3.14,3.1,day,411640.0,53.23,70.4545454545,1.16981132075,0.0,3.48491163805e-05,-1.91667776098,-1.5270919442,-1.73884958314,-1.66126930565,-0.715369928244,-0.0499140371832,-0.569066758485,0.371830378468,1.08765879106,-0.715369928244
2016-06-24,1415,sh600221,3.15,3.11,3.15,3.08,day,715395.0,-4336.94,70.0,1.16226415094,-0.0128205128205,6.05647741061e-05,-1.40965665091,-1.8244197797,-1.64213717727,-1.86541274384,-0.231302747805,-0.739106418202,-0.571151956025,0.26919534895,-0.686712078825,-0.231302747805
2016-06-23,1414,sh600221,3.17,3.14,3.17,3.12,day,462014.0,-1621.76,70.9090909091,1.17735849057,-0.00955414012739,3.91137393242e-05,-1.20684820688,-1.5270919442,-1.44871236552,-1.45712586747,-0.635093389101,-0.312862931254,-0.566981560945,0.474465407986,-0.234643067389,-0.635093389101
2016-06-22,1413,sh600221,3.15,3.16,3.17,3.14,day,327289.0,-382.69,71.3636363636,1.18490566038,-0.0031847133758,2.77080275266e-05,-1.40965665091,-1.32887338721,-1.44871236552,-1.25298242928,-0.849792573919,-0.118347091651,-0.564896363405,0.577100437505,0.64689150491,-0.849792573919
2016-06-21,1412,sh600221,3.16,3.15,3.18,3.14,day,619126.0,1050.3,71.3636363636,1.18490566038,-0.00961538461538,5.24147168113e-05,-1.3082524289,-1.4279826657,-1.35199995965,-1.25298242928,-0.384718044323,0.106611347333,-0.564896363405,0.577100437505,-0.243119361353,-0.384718044323
