quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB
2017-03-21,1919,sz300226,41.77,41.37,41.77,41.2,day,13935.0,287.17,258.469259724,13.1629392971,-0.669247390279,-0.720146798348,-0.770202704626,-0.658508835739,-0.86499606759,0.138977686043,1.35339662799,-0.744322639408
2017-03-20,1918,sz300226,41.3,41.84,41.84,40.98,day,21728.0,-1488.49,257.089084065,13.0926517572,-0.740619776583,-0.648937901416,-0.760024387882,-0.693513416643,-0.61690336958,-0.224906694808,1.34427957325,-0.763076873257
2017-03-17,1917,sz300226,41.92,41.6,42.88,41.6,day,35335.0,-223.62,260.978670013,13.2907348243,-0.646468969118,-0.685299891339,-0.608803681973,-0.594864143187,-0.183720084345,0.0343019582035,1.36997309114,-0.71022403241
2017-03-16,1916,sz300226,41.67,41.87,41.98,41.52,day,21642.0,-416.79,260.476787955,13.2651757188,-0.684433004386,-0.644392652676,-0.739667754395,-0.607593081697,-0.619641207643,-0.0052841933396,1.36665779851,-0.71704375381
2017-03-15,1915,sz300226,41.4,41.68,41.85,41.05,day,22995.0,487.06,257.528230866,13.1150159744,-0.725434162476,-0.673179228031,-0.758570342633,-0.682375595446,-0.576568011132,0.179940961044,1.3471804543,-0.757109617033
2017-03-14,1914,sz300226,41.42,41.4,41.75,40.88,day,19744.0,-1338.13,256.461731493,13.0607028754,-0.722397039654,-0.715601549608,-0.773110795125,-0.709424589781,-0.680064656998,-0.194093557437,1.34013545746,-0.771601525007
2017-03-13,1913,sz300226,41.25,41.39,41.59,40.54,day,22337.0,-518.27,254.328732748,12.9520766773,-0.748212583637,-0.717116632521,-0.796375519111,-0.76352257845,-0.597515655851,-0.0260803969871,1.32604546378,-0.800585340955
2017-03-10,1912,sz300226,41.9,41.4,42.18,41.37,day,17945.0,-1010.76,259.535759097,13.2172523962,-0.64950609194,-0.715601549608,-0.710586849412,-0.631459841404,-0.737336409048,-0.127005922552,1.36044162483,-0.729830731434
2017-03-09,1911,sz300226,41.86,42.07,42.41,41.33,day,21832.0,33.82,259.284818068,13.2044728435,-0.655580337583,-0.614090994407,-0.677143808682,-0.637824310659,-0.613592495642,0.087058902104,1.35878397851,-0.733240592134
2017-03-08,1910,sz300226,42.72,41.87,42.74,41.69,day,22649.0,-2250.98,261.543287327,13.3194888179,-0.52498405626,-0.644392652676,-0.62916031546,-0.580544087362,-0.587583034039,-0.381163073594,1.37370279535,-0.702551845836
2017-03-07,1909,sz300226,43.29,42.69,43.29,42.21,day,25969.0,-615.93,264.805520703,13.4856230032,-0.438426055849,-0.520155853773,-0.549187826758,-0.497805987045,-0.481889750657,-0.0460937715261,1.39525219746,-0.658223656738
2017-03-06,1908,sz300226,42.6,42.99,43.3,42.05,day,28725.0,-113.13,263.801756587,13.4345047923,-0.543206793189,-0.474703366369,-0.547733781509,-0.523263864065,-0.394151591319,0.0569445729159,1.3886216122,-0.671863099538
2017-03-03,1907,sz300226,41.5,42.53,42.65,41.17,day,27072.0,628.89,258.281053952,13.1533546326,-0.710248548369,-0.544397180388,-0.642246722703,-0.66328218768,-0.446775385726,0.209006053311,1.35215339325,-0.746880034933
2017-03-02,1906,sz300226,42.22,41.55,42.65,41.36,day,23157.0,-688.15,259.473023839,13.214057508,-0.600912126797,-0.692875305906,-0.642246722703,-0.633050958718,-0.571410688268,-0.0608937501172,1.36002721325,-0.730683196609
